category,Journal,article_id,num_click
스포츠,D일보,ud0Rt3iBUX,3719
사회,B일보,v7oCsXJjMn,1271
경제,B일보,bvrGMNy2VL,1929
경제,B일보,4vNnU38N3m,5728
사설,B일보,NWZpabeNb7,4077
부동산,D일보,3wEfH9cXjy,642
스포츠,B일보,5gpjKc84PS,1887
부동산,D일보,Ccvi807Gvv,914
스포츠,B일보,QstXJUr49N,938
정치,B일보,0ZvQknTOKK,1279
사회,B일보,7T943y2C6M,1080
증권,E뉴스,ttzIZZlltv,2842
공학,B일보,30tDiUOc4s,1636
정치,B일보,y9sKBZfjkx,1066
사설,C일보,08DERJuqBa,1308
스포츠,B일보,9kQHEZplbM,1217
경제,B일보,oab1OSInm4,2940
사회,D일보,LVcbKurU8j,889
경제,B일보,7RRxSLwAbn,1200
정치,B일보,QBMrFigLQ5,669
부동산,B일보,EybS9FSUZY,473
정치,B일보,2NhfLYdXs9,1513
연예,C일보,xgum4NQyuB,1767
사설,B일보,IIZU9BWuZH,698
경제,C일보,mda0n2c760,5883
부동산,B일보,IyF3bgqH0U,561
스포츠,D일보,KGsX4QVqzF,1019
부동산,C일보,ticbKcQ6Oi,897
사회,B일보,XeVcppl90q,3040
사설,B일보,wtdwmNUPU5,2879
사설,D일보,trsh17WHm4,1087
사회,C일보,mU4bly1cTK,1252
공학,D일보,f6dAHB9ihX,661
사회,B일보,zEJs2Bp2cF,507
증권,D일보,Rp4lXypHzD,828
경제,C일보,lCRXsBOkkS,1089
경제,C일보,vfg06hHW4r,2358
사설,B일보,FDeQO9LnKl,2305
부동산,B일보,JBdmUKbZe3,812
연예,D일보,D3OtBrqhE1,846
스포츠,B일보,ULAINheihC,627
사회,C일보,w71QkfBDyb,566
사회,B일보,4HzP1DrFRS,532
스포츠,B일보,1WjRAhd41X,4394
사회,B일보,BhZFVvPKcU,768
정치,C일보,y4IA7SxNPy,793
부동산,B일보,OOweYXdlrM,590
경제,D일보,0en86C4abi,1656
경제,D일보,W7b22hr8hI,542
사회,C일보,eyZuoZbXJZ,885
사회,B일보,4pciFbck2Q,660
부동산,B일보,5iSHsIzc8a,1259
사회,D일보,nqBuMVoH91,768
사회,B일보,C4ugnfIag1,603
사회,B일보,1Lly7IgOF4,978
사회,B일보,YyRothnJF3,1294
사설,C일보,gVnThN7Ovt,1032
사회,B일보,SnyzzMi0Jw,1192
스포츠,C일보,KJ1JWdA6yQ,729
정치,B일보,NTZKQUTG29,822
사회,B일보,prCZNWcdD7,717
경제,B일보,iuCmPbntH5,823
사회,D일보,77XRqyLKUX,680
증권,D일보,rw2f2jmNIv,530
사설,C일보,agrVe6J9BY,1103
사설,B일보,2DZmo7vzZ2,807
공학,D일보,sX0NfyDy6Z,540
스포츠,B일보,pl84Y0qHJk,1325
부동산,B일보,5p51PVfEXs,657
부동산,B일보,IIenzJnMlf,1023
공학,B일보,bmuyI7hmMU,1598
부동산,C일보,LRrAne2OYR,1071
증권,C일보,I09iRRxPxw,2190
사회,B일보,g0BdN3NFBX,593
스포츠,E뉴스,t5UBXEkheF,1272
경제,B일보,OgKvChE6S0,714
사회,D일보,hBojfY1pzZ,665
공학,D일보,d7kLtMdS2h,745
증권,C일보,lFTep0EABq,842
사회,B일보,m7NOvn7Jx9,1026
사회,B일보,yA3JYwfvTk,605
부동산,B일보,f1cIWscgCp,1817
연예,B일보,v1T1UBbz8a,1328
부동산,B일보,FvSWB496aP,551
정치,B일보,nrXhymMPPY,2926
증권,B일보,V9o2i9heIv,4182
부동산,C일보,MsqeT25p5W,2261
부동산,C일보,g7KlmEMufN,900
경제,C일보,ahpkFpJifi,623
정치,C일보,TYOq2qJjVw,2047
연예,C일보,hSIzNSFumT,806
경제,B일보,WUqy64iMDY,2343
정치,B일보,Gd5ciY5iCv,1124
사회,B일보,mZmvLZw0vv,1926
사회,C일보,yvz0SLSwgR,1235
사설,B일보,beByZr8hfM,1572
공학,B일보,FKx7P7ggG2,999
사설,B일보,nccXucA5XL,3791
정치,B일보,3c551UDR2E,1069
정치,D일보,Mn79s7R4e9,1272
연예,B일보,GIpeaz27is,4134
연예,B일보,CH53ymF4T2,576
사설,B일보,qWIO3LGAB4,588
사설,D일보,bwqzVrwLYj,1915
사설,C일보,Ao4H2TWKdn,604
연예,B일보,oNGCVtgmBz,4365
사회,E뉴스,5MJW48Epsq,802
사설,E뉴스,EDUNoyxSAL,696
경제,B일보,jBHFOv0jAq,4285
부동산,B일보,L0NBOFsUKq,2907
연예,D일보,XCwMkQsUVA,4077
스포츠,B일보,gYgmG4OylH,1824
사회,E뉴스,HLfH5odJqM,668
공학,B일보,QbWN6czkAt,4235
사설,B일보,cPchAdycjp,860
부동산,D일보,3tteuBTnQI,1687
스포츠,B일보,iTCh8X9cpz,1883
경제,B일보,fRd7MBAuj8,912
경제,B일보,YvgbWpMNyO,1471
경제,C일보,JnpDskWxd2,1847
사설,B일보,J5a7gBNvYW,1251
경제,B일보,6mcIVYb9js,618
정치,B일보,sxTcRnCGbo,1189
사회,C일보,TD432UE1x1,2553
사설,C일보,xhiRwhUimF,711
사설,E뉴스,yyKVaQI931,915
경제,B일보,EQb4oxpNIx,794
증권,B일보,o8Mj6JkEJe,4011
정치,E뉴스,l3Kbe1FoMY,1533
사설,C일보,9WwjijRQYk,1276
사회,B일보,BjBJh9yGH4,691
사설,B일보,vo2GHzmu4G,1396
사회,B일보,uYmRI8OgIo,717
사설,B일보,WQK9K2nzcq,1011
연예,B일보,OepElVRoQc,728
공학,C일보,n71Xmr5t8c,1538
경제,B일보,KFgt3CCgVu,1432
정치,B일보,9LYrV52UTj,887
사회,C일보,7GktqwaJYT,1267
부동산,B일보,ooxKjlSYo5,619
경제,B일보,l6fxdW60Yl,557
사회,B일보,l1mvelyySJ,1304
사회,C일보,aAv7MnezLC,1095
공학,B일보,FtU00OqfrB,1493
공학,B일보,vZRJzCL1xE,6537
정치,B일보,tY6Rg3ZQJP,1879
공학,C일보,W4U1xiK8Ug,656
부동산,B일보,NiGffhl00M,2151
공학,B일보,zXneVo4DpG,581
사회,B일보,5fz9FLcyys,785
스포츠,B일보,xCmnFrdMDt,956
부동산,B일보,3GLtg0hKWP,3556
공학,B일보,DdSoPSZZc1,697
사회,C일보,mPNLpuQ81g,676
사회,E뉴스,zNTdNlGiJV,940
사설,B일보,U3v0L15S1M,720
사설,B일보,xBHSZtAQxC,2168
스포츠,B일보,kWVrX12iDh,621
경제,E뉴스,Yz7PoyRxMM,609
사회,B일보,cUWHcHjHHs,793
증권,C일보,ykxTjo0JsJ,772
경제,B일보,PI4xT4NMxZ,4310
경제,D일보,txHPlmWbWh,1886
사설,E뉴스,B0yfTGI0nu,1045
사회,B일보,m0MCnxJgWA,595
경제,B일보,p7AC1H91bn,1741
사회,B일보,2GhQPKm7ct,637
사회,B일보,moVH3EuaJW,550
부동산,B일보,kJqTAqApO7,2278
사회,D일보,AcsyHS8V3U,1203
경제,B일보,TgGtd5qcZS,1845
사회,B일보,wfGf1m4K9w,1205
사설,B일보,qtKvXKw2st,1757
증권,B일보,On58F2aJwi,723
부동산,B일보,exS4hZ1mE7,630
부동산,C일보,ppowyAW1ke,1544
증권,B일보,PYN6hRky2i,682
사설,D일보,IHTYIJzVIB,712
스포츠,B일보,NF2M0trg1J,787
사설,B일보,712t3rMcFx,1003
정치,B일보,AZdl9ZSdis,825
부동산,B일보,5LYogXT6fM,572
정치,E뉴스,CnY8x9frPB,726
공학,B일보,uz3UAZCGq8,491
사설,C일보,aJUYOrAzeM,1483
사설,D일보,Gt6mlRRGX5,543
정치,C일보,HQfGsg2QWc,616
연예,B일보,MIz5T3i3yL,1023
정치,D일보,ihiZz0OvX6,699
부동산,B일보,fwetu2F2a0,3066
스포츠,B일보,tNqFzWZZk1,584
공학,B일보,3uUCkMMxcU,1166
사회,C일보,qqXPGtDhef,971
증권,B일보,PO8UDJn1iu,605
부동산,B일보,XipPQZu3za,1381
연예,D일보,kwY9no1NSb,904
연예,C일보,gHh9ZlJfTk,1649
사설,B일보,DuwfMW5pGk,1714
경제,B일보,6bgu7d127D,5332
사설,C일보,1IVfETTG1J,2574
경제,B일보,dts5q5Ixoz,819
경제,B일보,ub1aGOMW0x,873
부동산,B일보,dsG6GqxZE1,2122
사설,C일보,XryduqCKxr,1515
부동산,D일보,TAjkO78p5J,1498
사설,E뉴스,wM7u2UBUCg,541
증권,C일보,xynhUxaop8,979
경제,C일보,pWuFE6eXtC,699
경제,B일보,Nat9n41aR8,1175
부동산,B일보,ONJirLevBe,940
사설,B일보,X3DeC3q65b,1830
사회,B일보,JLZxtW9IwF,1204
사회,C일보,kNDO5gJK5N,1667
증권,C일보,JJ0HtDGZfl,783
부동산,B일보,m4kBwEZ0c3,649
사설,B일보,97UVLEiG24,803
사회,B일보,dT9oKVH4E7,984
연예,B일보,H21cMnO372,1253
사회,B일보,V9ELmpcNKE,5826
경제,B일보,MzOeWHZ8Hb,970
경제,B일보,wI9prX5BXi,646
부동산,C일보,ENPJFPh5s5,828
사설,B일보,im2FjIOkk9,784
사회,B일보,ngqYdV5jL5,1342
사설,B일보,NElBXeOyOk,550
정치,B일보,4o3edGLZ94,1030
스포츠,B일보,2DzQPAT1fm,1089
정치,C일보,g38eDsHVf0,1140
사회,B일보,oXxo9vEySW,740
스포츠,C일보,lUpeTkwv7q,874
사회,B일보,e7ZhsAnvnk,565
부동산,C일보,faAFGBSkKy,774
부동산,D일보,ssJ7pFCfkm,757
사설,D일보,VGefhXdCUb,1284
사회,B일보,0LrWbGBAIB,607
사회,B일보,vf5gF03K7N,1661
공학,B일보,2tbMo9Iu6c,2941
정치,B일보,KlptGKL3tV,501
사회,B일보,zGYY0rD1SL,1293
사설,B일보,V1BDdHr1Bx,1538
부동산,B일보,zmOzxogIvz,727
스포츠,C일보,wHcnayLkTe,809
정치,C일보,EJINPgfXh5,923
공학,C일보,j4F6sE91xL,848
부동산,B일보,LFBUScC8ti,843
사설,B일보,WfwQSXx55d,535
사설,B일보,NUOIVSI4fV,2213
부동산,B일보,p8wbiFRWEw,2088
경제,E뉴스,ypi2OjmEtt,680
연예,C일보,hDwevLpk9v,559
경제,B일보,VZv2tTkmpu,1378
스포츠,B일보,RNjZuntMwv,747
부동산,B일보,zcfRP6s3DX,1079
사회,D일보,zSZ9TebbYp,839
공학,C일보,v41clrv5I1,1555
연예,D일보,bo9LSROC3R,1559
스포츠,B일보,hrUOFLimbu,703
사설,C일보,TAzuoqfyPG,571
경제,B일보,fnJDJ4eaTa,545
사설,B일보,hRyEgfrn46,1467
사설,B일보,7miyFCGOl3,601
정치,B일보,3wQmECghCQ,769
경제,B일보,spUXfWHpbv,740
연예,D일보,9kQPqtKcqT,964
사회,B일보,VdMfNLWviu,511
스포츠,B일보,5MnIfSxiaq,1110
사회,C일보,NlfB2BMAxE,1381
정치,B일보,UqbvqE4hu8,1045
부동산,B일보,H3sA0raVoA,842
증권,B일보,MJ4lRrrySj,1051
사회,C일보,nnvZBscimC,1270
공학,E뉴스,BEb2SkhyON,465
부동산,B일보,D0L90rYLMJ,4414
부동산,D일보,0Qs9e0iDVQ,1262
정치,B일보,qbl8NVkoCT,723
사회,D일보,oRnVMcUDW9,811
사설,B일보,BeVxaIMpYC,1353
사설,E뉴스,T8Gw7x6oQY,931
사설,B일보,fnXjDuBukU,504
사회,C일보,uufA5HXAMg,4871
사회,B일보,mq7nTqlWYJ,934
경제,E뉴스,UYAe0U1Em7,1993
사회,D일보,3ZJscEwg6b,712
사회,B일보,ObBpK0SJLV,3049
부동산,C일보,1G1kDwgGDr,1180
사설,B일보,rX3KSMWvC0,1466
사설,B일보,MBwWbLrNot,628
사설,B일보,pviqGMuydn,2322
부동산,B일보,zxpFxzc52Y,1553
부동산,E뉴스,h6fJJZg6BZ,2501
경제,B일보,CX9NbBopOb,730
사회,D일보,1miQulnhOi,778
부동산,C일보,vat5kNWeV0,6072
사회,B일보,wDotWnpzJ3,625
사회,B일보,Y04ULA8Lb5,921
사설,B일보,IoXPfYTYdo,2186
사회,D일보,3HbOCfbUWR,1051
사설,B일보,KmpzBe2fHz,1439
경제,B일보,zFMFb7zgTy,807
사설,D일보,aLI9UFQb4b,1245
정치,B일보,bBksHbwHmD,582
연예,B일보,5DyDsP6Fdy,3388
사회,B일보,Z9tTXbJG1m,930
스포츠,E뉴스,40qDdlicUh,715
사설,C일보,K8y4jIjSbL,1527
연예,B일보,GUI5fqFGhF,785
공학,B일보,lVeKK98JJh,578
연예,B일보,n8hq9gQjfG,576
사설,B일보,TbdFi4uHeR,1557
사설,B일보,6je3vNXrh1,910
사설,B일보,bDEB51WLQi,922
사설,B일보,dDxR0fggV3,2085
사설,C일보,15OZpWVGuk,612
연예,B일보,VzRM1ZZlhq,701
정치,E뉴스,yIArs8APiJ,813
사설,B일보,BNesOypGHx,1049
연예,B일보,jBIeWGAaJD,970
공학,B일보,evRohxqrgc,853
사회,B일보,KQmUvZ8Lj5,960
연예,C일보,RRBVoPipAj,936
사회,C일보,nWFkr8zSfF,704
경제,B일보,Nud92xeXNM,680
사설,B일보,iP1hzhExED,1171
연예,B일보,OLDXxvYoMs,661
사설,D일보,BWHl4cqPOw,607
사설,B일보,qHWHEHINda,842
증권,B일보,aJTUYBaDLb,911
부동산,B일보,EsMaLgoCJs,5812
사설,B일보,5YT7YLjpP3,708
사회,B일보,WDlHRkjIrf,1877
사설,C일보,MJt5iuUfh5,1619
경제,B일보,o0FZyC7WUR,601
사회,B일보,5GC8ruvDT6,1650
부동산,B일보,kJ4Tdmazhz,602
사설,E뉴스,iFzkm4RdsX,469
경제,E뉴스,7PnkkhCNbh,1463
사설,B일보,sVAdZigclb,527
사설,B일보,UHcEKTLkUm,1314
사설,B일보,m76tHgzw8L,714
정치,C일보,sYt3g6Bhjv,3392
사설,B일보,iCDjaL2vNH,2070
사설,C일보,LIxsqgegEA,788
부동산,D일보,V5GVsAztK2,713
공학,B일보,a7eDvn05ay,597
경제,B일보,wEeSYp6f4R,792
정치,B일보,1WSJGztfV7,855
정치,E뉴스,JxYRBYauLb,821
부동산,D일보,vkCSTsY7W4,1089
사회,B일보,4lHbNObr33,1435
부동산,B일보,1UJxom5WG6,1229
스포츠,B일보,AXB7cTKNI0,692
연예,B일보,0y5kV4ahDl,563
증권,B일보,svJ4BJhC8p,2635
부동산,B일보,IzR0EwqDtF,712
부동산,E뉴스,QxLF5I7CsD,723
사설,B일보,vL6m0jBEqW,764
사설,C일보,GwtlqGhlTw,519
사설,E뉴스,uk5QjvV7gX,779
사회,B일보,t23kbrEMmP,778
경제,B일보,fVYVRq6Ks2,1477
공학,B일보,dF4P1GGE22,1563
사회,B일보,mqoq0kt3Bd,995
정치,B일보,NN2FTS0d1z,1861
사설,B일보,JDqNpew2Q7,1221
부동산,C일보,uCfCddVTsR,984
사설,D일보,3qTrqut276,1091
부동산,B일보,dXJFWaoMJb,895
부동산,C일보,mtUfdl4zm0,809
경제,D일보,25Bs38lhLR,861
부동산,B일보,YgOciKiFqq,612
스포츠,B일보,UNz33ETWpX,1175
증권,B일보,89CkTPOAVn,638
사설,B일보,Z4bztrtvyL,1737
연예,B일보,aS3MaHXPKP,869
사설,E뉴스,KvYiY3WLrr,1022
스포츠,B일보,4TfkgXmhWw,1353
사회,B일보,Z6T9TdTJar,1502
부동산,E뉴스,fQzYGLNOoB,547
부동산,B일보,51UpAA50pL,888
경제,B일보,snY9y40pHW,1789
사설,B일보,JNv5FarU1G,533
사설,B일보,69Hrw5cEwj,1259
공학,C일보,3uKs7dQiX2,488
경제,B일보,gbNZ2hrAO7,632
사회,B일보,Ec6WXZcgSN,1015
스포츠,C일보,4BEpOUrJjJ,537
사설,B일보,JhpBelwDN5,640
증권,C일보,5FAg05Wumq,559
경제,B일보,kBvJtj2GHA,3358
증권,B일보,sz3zGnLkIf,1094
부동산,B일보,QBAMPknelH,1423
사회,B일보,thbXHZ6izK,881
부동산,B일보,phursUwrNn,825
공학,B일보,b5lBcoJWnP,541
경제,B일보,N3W4ZvidRu,850
사회,B일보,R2dtbXRcEG,692
경제,B일보,FnK9ydzYT2,1759
부동산,B일보,nVf8UZuweo,2194
공학,B일보,QjHzUhN5o3,2872
사설,B일보,5uGAfYXHaQ,1751
증권,B일보,tB2mPRo6fK,739
스포츠,B일보,c6mP6t9blF,614
증권,D일보,WhFAJ7RcfH,1643
경제,B일보,C3RLpeQWxE,1235
사설,B일보,2V7L7KlICr,526
경제,D일보,zoFobC3BDM,1233
사회,B일보,5LY8KswxK0,1702
사설,C일보,jyQs4lcVzq,1027
정치,C일보,v3K4bZrBKi,898
경제,B일보,5P7xXRtLN3,681
공학,B일보,5B7bHZW3JA,562
사회,B일보,Q7i0cLjarV,1684
공학,C일보,eGmzXGW9MT,843
경제,B일보,wK9XdhhA7y,876
경제,B일보,IQlB0VDWVO,3617
사회,B일보,Li0hk602jM,1547
경제,D일보,RQKTcnAH57,1246
연예,C일보,6GDyJ4EcZu,1079
사회,B일보,BdgXwF01w0,3006
사설,D일보,jmG9Gtp3Lr,3575
부동산,C일보,JIokpq1CyC,1857
정치,D일보,AzahvNd6W1,1439
사회,B일보,807pBUV0Cq,499
스포츠,C일보,jPR2Daqvfs,1067
사회,C일보,x8UFAf8F0B,925
사회,B일보,cjXDaEX1Jt,1049
사회,D일보,7zq19VSAKm,1876
사설,D일보,F7GALWz2sn,466
경제,B일보,i9RwGNUQpu,748
증권,B일보,RjJYwgmvdz,1168
연예,D일보,vst3yvVHGT,783
부동산,C일보,1Vft7cpUTC,566
사설,B일보,z99ItsWxfE,1773
사회,B일보,Q37qWgIYKq,1173
스포츠,B일보,T5FhG8fCOr,643
사설,B일보,AMuO7TXCPV,1202
증권,E뉴스,dEqkCdPstj,1711
공학,B일보,Me9HbB8mVl,996
사회,B일보,I0oKTH8Qei,1684
스포츠,B일보,T6HxKFLvS4,1039
사설,C일보,ppK62NJ8ao,809
사회,D일보,vlZjvJ3P5i,606
스포츠,B일보,ypKnlVBuey,947
부동산,D일보,QY4HndStNk,1114
사설,B일보,zA2LKBtS7L,1782
사회,D일보,YHzVYGzuk7,932
스포츠,B일보,E2LTn1lgDQ,1320
정치,E뉴스,ArhL1SgCV3,645
사회,B일보,IQtlE5gZ0n,687
사회,C일보,CT5ECFsxkL,934
부동산,B일보,QJ80QgIDAE,626
부동산,D일보,loVF3iVMgN,1710
경제,B일보,d0uWFN8cTb,1325
사설,B일보,dVjszwvFj3,1174
사회,C일보,hIYcEtSUQS,1220
정치,C일보,VP5bxWbQjH,4682
부동산,B일보,4F4vb8j9cK,782
스포츠,D일보,2Mpo9SYJzy,492
증권,C일보,lxlRw9HI2S,1117
사회,C일보,wSkzswMQJr,965
스포츠,D일보,RBI5yg7944,765
사회,C일보,7Xw2Poxia0,641
경제,B일보,fAhjD5XfQK,793
정치,B일보,RYULj2Ijsg,1105
사회,B일보,XyWFrUOgg2,770
사설,D일보,MFEpUxh63P,6719
부동산,B일보,FY7lZYnYYb,645
사설,B일보,HtGNX8AMnW,685
사회,B일보,oHEzIrQXFO,487
부동산,B일보,saXatTEw9E,1154
